n_gen	99_mu	37_mu	60_mu	114_mu	18_mu	-1_mu	73_mu	-5_mu	-4_mu	-3_mu	-2_mu	99_sig	37_sig	60_sig	114_sig	18_sig	-1_sig	73_sig	-5_sig	-4_sig	-3_sig	-2_sig	node.brow_mean	node.current_brow_mean_ln_prior_density	ln_posterior	
48000	48.574355	48.783994	51.604490	50.894242	51.308177	48.379768	49.728866	48.148190	51.094959	49.894516	51.244723	2.163388	1.720057	1.921566	2.480210	2.214534	1.810595	2.384749	2.482567	1.560474	2.304198	1.959727	16.490615	-1.048675	-10.466384	
50000	50.876012	51.737239	49.481596	51.796042	49.492389	52.122693	48.769447	52.072253	51.404534	53.498842	52.753635	2.281954	1.904665	2.036228	1.864395	2.302993	1.416672	1.822693	1.674292	1.952678	1.871946	1.818216	17.247670	-0.949609	-2.371661	
52000	50.481289	48.952829	49.964259	50.231452	50.502035	49.149388	50.246795	50.826412	49.964259	51.360045	48.302599	2.022974	2.163882	1.673448	2.254119	2.775233	1.897773	1.567057	1.846610	1.673448	2.149722	1.525648	16.987182	-0.919021	-7.459140	
54000	49.940599	50.387812	50.823710	49.260825	50.396773	49.149388	49.007744	50.033186	49.685211	51.243757	48.302599	2.326330	1.872261	2.154021	1.779415	1.823495	1.897773	2.323507	1.779415	2.958503	2.005164	1.525648	16.844715	-0.930995	-5.871693	
56000	49.827947	50.182161	51.017568	49.985850	49.783917	49.149388	51.022160	49.985850	51.022160	50.182161	51.022160	1.866383	1.914302	2.275010	2.064458	2.200823	1.897773	1.795926	2.064458	1.795926	1.958705	1.795926	14.994075	-2.930807	-4.924574	
58000	49.586752	46.844855	51.017568	50.159602	47.673634	49.149388	49.399307	49.985850	51.117958	47.673634	51.117958	2.175601	2.114332	2.275010	1.893806	1.928156	1.897773	1.690466	2.064458	1.809614	2.209255	2.320364	17.137254	-0.928358	-2.080070	
60000	50.570536	49.537248	50.199382	50.560541	49.648654	49.149388	51.472421	49.458974	51.472421	49.665137	51.117958	1.810081	2.079191	2.199511	2.472238	1.778273	1.897773	1.847909	2.323662	1.847909	1.778273	2.320364	18.848844	-2.628051	-7.932185	
62000	51.596194	52.040321	50.214253	50.362363	51.074523	49.149388	52.954815	51.761682	50.214253	51.939291	51.117958	1.815673	2.381395	2.097475	1.740304	1.908794	1.897773	2.299294	1.740304	2.097475	1.932488	2.320364	17.155445	-0.931020	-11.773821	
64000	49.375543	49.210739	49.944478	48.976711	49.562242	49.149388	51.669642	49.375543	51.730579	49.562242	49.982146	2.037904	2.309097	2.240283	2.194003	2.239693	1.897773	1.714973	1.889214	2.114862	2.239693	1.697437	16.925098	-0.921744	-7.386639	
66000	50.303641	50.708171	49.093005	48.728442	50.331251	49.149388	50.645964	48.728442	51.956775	51.773660	50.485496	2.181544	1.358078	2.425526	1.919694	2.132845	1.897773	2.090089	1.919694	2.088474	2.238881	2.454629	19.120593	-3.167395	-5.537301	
68000	50.585462	51.242997	52.261485	51.749946	50.711232	49.149388	49.543692	48.728442	49.637073	50.177227	51.544041	2.181544	1.981011	1.828182	1.919694	2.679421	1.897773	1.456933	1.919694	1.975089	2.679421	2.454629	15.795304	-1.644585	-10.647193	
70000	49.805218	47.582520	50.474337	48.438035	48.734788	49.149388	50.871907	49.805218	49.246303	51.312987	48.388170	2.056114	2.222313	2.546390	2.137964	1.777391	1.897773	2.459662	2.056114	1.577048	1.768590	1.563997	15.063987	-2.793011	-7.200702	
72000	51.162657	50.861360	49.930939	48.816408	51.992482	51.041302	49.210393	51.510732	49.210393	51.538358	48.628098	2.470669	1.965811	2.479030	1.977906	1.730812	2.063953	2.295044	2.470669	2.295044	1.909419	2.122162	17.397744	-0.998039	-7.146716	
74000	49.765000	49.406313	49.763242	49.713584	50.151391	51.041302	50.089845	49.713584	49.783173	49.206388	50.574161	2.216043	2.250044	2.351210	1.767059	1.286544	2.063953	1.663151	1.767059	2.014894	1.549361	1.856980	15.840714	-1.590911	-3.982281	
76000	50.218032	50.271437	49.522375	49.050724	50.672796	49.296963	47.877151	50.086045	49.974409	49.173585	47.650322	2.016743	2.087947	1.958300	2.410571	1.948510	2.024528	2.214705	2.016743	2.203681	1.905175	2.063153	17.415433	-1.005231	-3.581452	
