n_gen	99_mu	37_mu	60_mu	114_mu	18_mu	-1_mu	73_mu	-5_mu	-4_mu	-3_mu	-2_mu	99_sig	37_sig	60_sig	114_sig	18_sig	-1_sig	73_sig	-5_sig	-4_sig	-3_sig	-2_sig	node.brow_mean	node.current_brow_mean_ln_prior_density	ln_posterior	
48000	1.000000	1.000000	1.000000	1.000000	1.000000	5.635007	1.000000	4.942950	1.000918	0.456231	1.584145	0.500000	0.500000	0.500000	0.500000	0.500000	0.790315	0.500000	1.172431	1.414648	2.782755	0.745627	1.066955	-4.490833	-19.268203	
50000	1.000000	1.000000	1.000000	1.000000	1.000000	5.635007	1.000000	4.942950	1.000918	0.456231	1.584145	0.500000	0.500000	0.500000	0.500000	0.500000	0.790315	0.500000	1.172431	1.414648	2.782755	0.745627	1.066955	-4.490833	-19.268203	
52000	1.000000	1.000000	1.000000	1.000000	1.000000	5.635007	1.000000	4.942950	1.000918	0.456231	1.584145	0.500000	0.500000	0.500000	0.500000	0.500000	0.790315	0.500000	1.172431	1.414648	2.782755	0.745627	1.066955	-4.490833	-19.268203	
54000	1.000000	1.000000	1.000000	1.000000	1.000000	5.635007	1.000000	4.942950	1.000918	0.456231	1.584145	0.500000	0.500000	0.500000	0.500000	0.500000	0.790315	0.500000	1.172431	1.414648	2.782755	0.745627	1.066955	-4.490833	-19.268203	
56000	1.000000	1.000000	1.000000	1.000000	1.000000	5.635007	1.000000	4.942950	1.000918	0.456231	1.584145	0.500000	0.500000	0.500000	0.500000	0.500000	0.790315	0.500000	1.172431	1.414648	2.782755	0.745627	1.066955	-4.490833	-19.268203	
58000	1.000000	1.000000	1.000000	1.000000	1.000000	5.635007	1.000000	4.942950	1.000918	0.456231	1.584145	0.500000	0.500000	0.500000	0.500000	0.500000	0.790315	0.500000	1.172431	1.414648	2.782755	0.745627	1.066955	-4.490833	-19.268203	
60000	1.000000	1.000000	1.000000	1.000000	1.000000	5.635007	1.000000	4.942950	1.000918	0.456231	1.584145	0.500000	0.500000	0.500000	0.500000	0.500000	0.790315	0.500000	1.172431	1.414648	2.782755	0.745627	1.066955	-4.490833	-19.268203	
62000	1.000000	1.000000	1.000000	1.000000	1.000000	5.635007	1.000000	4.942950	1.000918	0.456231	1.584145	0.500000	0.500000	0.500000	0.500000	0.500000	0.790315	0.500000	1.172431	1.414648	2.782755	0.745627	1.066955	-4.490833	-19.268203	
64000	1.000000	1.000000	1.000000	1.000000	1.000000	5.635007	1.000000	4.942950	1.000918	0.456231	1.584145	0.500000	0.500000	0.500000	0.500000	0.500000	0.790315	0.500000	1.172431	1.414648	2.782755	0.745627	1.066955	-4.490833	-19.268203	
66000	1.000000	1.000000	1.000000	1.000000	1.000000	5.635007	1.000000	4.942950	1.000918	0.456231	1.584145	0.500000	0.500000	0.500000	0.500000	0.500000	0.790315	0.500000	1.172431	1.414648	2.782755	0.745627	1.066955	-4.490833	-19.268203	
68000	1.000000	1.000000	1.000000	1.000000	1.000000	5.635007	1.000000	4.942950	1.000918	0.456231	1.584145	0.500000	0.500000	0.500000	0.500000	0.500000	0.790315	0.500000	1.172431	1.414648	2.782755	0.745627	1.066955	-4.490833	-19.268203	
70000	1.000000	1.000000	1.000000	1.000000	1.000000	5.635007	1.000000	4.942950	1.000918	0.456231	1.584145	0.500000	0.500000	0.500000	0.500000	0.500000	0.790315	0.500000	1.172431	1.414648	2.782755	0.745627	1.066955	-4.490833	-19.268203	
72000	1.000000	1.000000	1.000000	1.000000	1.000000	5.635007	1.000000	4.942950	1.000918	0.456231	1.584145	0.500000	0.500000	0.500000	0.500000	0.500000	0.790315	0.500000	1.172431	1.414648	2.782755	0.745627	1.066955	-4.490833	-19.268203	
74000	1.000000	1.000000	1.000000	1.000000	1.000000	5.635007	1.000000	4.942950	1.000918	0.456231	1.584145	0.500000	0.500000	0.500000	0.500000	0.500000	0.790315	0.500000	1.172431	1.414648	2.782755	0.745627	1.066955	-4.490833	-19.268203	
76000	1.000000	1.000000	1.000000	1.000000	1.000000	5.635007	1.000000	4.942950	1.000918	0.456231	1.584145	0.500000	0.500000	0.500000	0.500000	0.500000	0.790315	0.500000	1.172431	1.414648	2.782755	0.745627	1.066955	-4.490833	-19.268203	
78000	1.000000	1.000000	1.000000	1.000000	1.000000	5.635007	1.000000	4.942950	1.000918	0.456231	1.584145	0.500000	0.500000	0.500000	0.500000	0.500000	0.790315	0.500000	1.172431	1.414648	2.782755	0.745627	1.066955	-4.490833	-19.268203	
80000	1.000000	1.000000	1.000000	1.000000	1.000000	5.635007	1.000000	4.942950	1.000918	0.456231	1.584145	0.500000	0.500000	0.500000	0.500000	0.500000	0.790315	0.500000	1.172431	1.414648	2.782755	0.745627	1.066955	-4.490833	-19.268203	
82000	1.000000	1.000000	1.000000	1.000000	1.000000	5.635007	1.000000	4.942950	1.000918	0.456231	1.584145	0.500000	0.500000	0.500000	0.500000	0.500000	0.790315	0.500000	1.172431	1.414648	2.782755	0.745627	1.066955	-4.490833	-19.268203	
84000	1.000000	1.000000	1.000000	1.000000	1.000000	5.635007	1.000000	4.942950	1.000918	0.456231	1.584145	0.500000	0.500000	0.500000	0.500000	0.500000	0.790315	0.500000	1.172431	1.414648	2.782755	0.745627	1.066955	-4.490833	-19.268203	
86000	1.000000	1.000000	1.000000	1.000000	1.000000	5.635007	1.000000	4.942950	1.000918	0.456231	1.584145	0.500000	0.500000	0.500000	0.500000	0.500000	0.790315	0.500000	1.172431	1.414648	2.782755	0.745627	1.066955	-4.490833	-19.268203	
88000	1.000000	1.000000	1.000000	1.000000	1.000000	5.635007	1.000000	4.942950	1.000918	0.456231	1.584145	0.500000	0.500000	0.500000	0.500000	0.500000	0.790315	0.500000	1.172431	1.414648	2.782755	0.745627	1.066955	-4.490833	-19.268203	
90000	1.000000	1.000000	1.000000	1.000000	1.000000	5.635007	1.000000	4.942950	1.000918	0.456231	1.584145	0.500000	0.500000	0.500000	0.500000	0.500000	0.790315	0.500000	1.172431	1.414648	2.782755	0.745627	1.066955	-4.490833	-19.268203	
92000	1.000000	1.000000	1.000000	1.000000	1.000000	5.635007	1.000000	4.942950	1.000918	0.456231	1.584145	0.500000	0.500000	0.500000	0.500000	0.500000	0.790315	0.500000	1.172431	1.414648	2.782755	0.745627	1.066955	-4.490833	-19.268203	
94000	1.000000	1.000000	1.000000	1.000000	1.000000	5.635007	1.000000	4.942950	1.000918	0.456231	1.584145	0.500000	0.500000	0.500000	0.500000	0.500000	0.790315	0.500000	1.172431	1.414648	2.782755	0.745627	1.066955	-4.490833	-19.268203	
96000	1.000000	1.000000	1.000000	1.000000	1.000000	5.635007	1.000000	4.942950	1.000918	0.456231	1.584145	0.500000	0.500000	0.500000	0.500000	0.500000	0.790315	0.500000	1.172431	1.414648	2.782755	0.745627	1.066955	-4.490833	-19.268203	
98000	1.000000	1.000000	1.000000	1.000000	1.000000	5.635007	1.000000	4.942950	1.000918	0.456231	1.584145	0.500000	0.500000	0.500000	0.500000	0.500000	0.790315	0.500000	1.172431	1.414648	2.782755	0.745627	1.066955	-4.490833	-19.268203	
100000	1.000000	1.000000	1.000000	1.000000	1.000000	5.635007	1.000000	4.942950	1.000918	0.456231	1.584145	0.500000	0.500000	0.500000	0.500000	0.500000	0.790315	0.500000	1.172431	1.414648	2.782755	0.745627	1.066955	-4.490833	-19.268203	
102000	1.000000	1.000000	1.000000	1.000000	1.000000	5.635007	1.000000	4.942950	1.000918	0.456231	1.584145	0.500000	0.500000	0.500000	0.500000	0.500000	0.790315	0.500000	1.172431	1.414648	2.782755	0.745627	1.066955	-4.490833	-19.268203	
104000	1.000000	1.000000	1.000000	1.000000	1.000000	5.635007	1.000000	4.942950	1.000918	0.456231	1.584145	0.500000	0.500000	0.500000	0.500000	0.500000	0.790315	0.500000	1.172431	1.414648	2.782755	0.745627	1.066955	-4.490833	-19.268203	
106000	1.000000	1.000000	1.000000	1.000000	1.000000	5.635007	1.000000	4.942950	1.000918	0.456231	1.584145	0.500000	0.500000	0.500000	0.500000	0.500000	0.790315	0.500000	1.172431	1.414648	2.782755	0.745627	1.066955	-4.490833	-19.268203	
108000	1.000000	1.000000	1.000000	1.000000	1.000000	5.635007	1.000000	4.942950	1.000918	0.456231	1.584145	0.500000	0.500000	0.500000	0.500000	0.500000	0.790315	0.500000	1.172431	1.414648	2.782755	0.745627	1.066955	-4.490833	-19.268203	
110000	1.000000	1.000000	1.000000	1.000000	1.000000	5.635007	1.000000	4.942950	1.000918	0.456231	1.584145	0.500000	0.500000	0.500000	0.500000	0.500000	0.790315	0.500000	1.172431	1.414648	2.782755	0.745627	1.066955	-4.490833	-19.268203	
112000	1.000000	1.000000	1.000000	1.000000	1.000000	5.635007	1.000000	4.942950	1.000918	0.456231	1.584145	0.500000	0.500000	0.500000	0.500000	0.500000	0.790315	0.500000	1.172431	1.414648	2.782755	0.745627	1.066955	-4.490833	-19.268203	
114000	1.000000	1.000000	1.000000	1.000000	1.000000	5.635007	1.000000	4.942950	1.000918	0.456231	1.584145	0.500000	0.500000	0.500000	0.500000	0.500000	0.790315	0.500000	1.172431	1.414648	2.782755	0.745627	1.066955	-4.490833	-19.268203	
116000	1.000000	1.000000	1.000000	1.000000	1.000000	5.635007	1.000000	4.942950	1.000918	0.456231	1.584145	0.500000	0.500000	0.500000	0.500000	0.500000	0.790315	0.500000	1.172431	1.414648	2.782755	0.745627	1.066955	-4.490833	-19.268203	
118000	1.000000	1.000000	1.000000	1.000000	1.000000	5.635007	1.000000	4.942950	1.000918	0.456231	1.584145	0.500000	0.500000	0.500000	0.500000	0.500000	0.790315	0.500000	1.172431	1.414648	2.782755	0.745627	1.066955	-4.490833	-19.268203	
120000	1.000000	1.000000	1.000000	1.000000	1.000000	5.635007	1.000000	4.942950	1.000918	0.456231	1.584145	0.500000	0.500000	0.500000	0.500000	0.500000	0.790315	0.500000	1.172431	1.414648	2.782755	0.745627	1.066955	-4.490833	-19.268203	
122000	1.000000	1.000000	1.000000	1.000000	1.000000	5.635007	1.000000	4.942950	1.000918	0.456231	1.584145	0.500000	0.500000	0.500000	0.500000	0.500000	0.790315	0.500000	1.172431	1.414648	2.782755	0.745627	1.066955	-4.490833	-19.268203	
124000	1.000000	1.000000	1.000000	1.000000	1.000000	5.635007	1.000000	4.942950	1.000918	0.456231	1.584145	0.500000	0.500000	0.500000	0.500000	0.500000	0.790315	0.500000	1.172431	1.414648	2.782755	0.745627	1.066955	-4.490833	-19.268203	
126000	1.000000	1.000000	1.000000	1.000000	1.000000	5.635007	1.000000	4.942950	1.000918	0.456231	1.584145	0.500000	0.500000	0.500000	0.500000	0.500000	0.790315	0.500000	1.172431	1.414648	2.782755	0.745627	1.066955	-4.490833	-19.268203	
128000	1.000000	1.000000	1.000000	1.000000	1.000000	5.635007	1.000000	4.942950	1.000918	0.456231	1.584145	0.500000	0.500000	0.500000	0.500000	0.500000	0.790315	0.500000	1.172431	1.414648	2.782755	0.745627	1.066955	-4.490833	-19.268203	
130000	1.000000	1.000000	1.000000	1.000000	1.000000	5.635007	1.000000	4.942950	1.000918	0.456231	1.584145	0.500000	0.500000	0.500000	0.500000	0.500000	0.790315	0.500000	1.172431	1.414648	2.782755	0.745627	1.066955	-4.490833	-19.268203	
132000	1.000000	1.000000	1.000000	1.000000	1.000000	5.635007	1.000000	4.942950	1.000918	0.456231	1.584145	0.500000	0.500000	0.500000	0.500000	0.500000	0.790315	0.500000	1.172431	1.414648	2.782755	0.745627	1.066955	-4.490833	-19.268203	
134000	1.000000	1.000000	1.000000	1.000000	1.000000	5.635007	1.000000	4.942950	1.000918	0.456231	1.584145	0.500000	0.500000	0.500000	0.500000	0.500000	0.790315	0.500000	1.172431	1.414648	2.782755	0.745627	1.066955	-4.490833	-19.268203	
136000	1.000000	1.000000	1.000000	1.000000	1.000000	5.635007	1.000000	4.942950	1.000918	0.456231	1.584145	0.500000	0.500000	0.500000	0.500000	0.500000	0.790315	0.500000	1.172431	1.414648	2.782755	0.745627	1.066955	-4.490833	-19.268203	
138000	1.000000	1.000000	1.000000	1.000000	1.000000	5.635007	1.000000	4.942950	1.000918	0.456231	1.584145	0.500000	0.500000	0.500000	0.500000	0.500000	0.790315	0.500000	1.172431	1.414648	2.782755	0.745627	1.066955	-4.490833	-19.268203	
140000	1.000000	1.000000	1.000000	1.000000	1.000000	5.635007	1.000000	4.942950	1.000918	0.456231	1.584145	0.500000	0.500000	0.500000	0.500000	0.500000	0.790315	0.500000	1.172431	1.414648	2.782755	0.745627	1.066955	-4.490833	-19.268203	
142000	1.000000	1.000000	1.000000	1.000000	1.000000	5.635007	1.000000	4.942950	1.000918	0.456231	1.584145	0.500000	0.500000	0.500000	0.500000	0.500000	0.790315	0.500000	1.172431	1.414648	2.782755	0.745627	1.066955	-4.490833	-19.268203	
144000	1.000000	1.000000	1.000000	1.000000	1.000000	5.635007	1.000000	4.942950	1.000918	0.456231	1.584145	0.500000	0.500000	0.500000	0.500000	0.500000	0.790315	0.500000	1.172431	1.414648	2.782755	0.745627	1.066955	-4.490833	-19.268203	
146000	1.000000	1.000000	1.000000	1.000000	1.000000	5.635007	1.000000	4.942950	1.000918	0.456231	1.584145	0.500000	0.500000	0.500000	0.500000	0.500000	0.790315	0.500000	1.172431	1.414648	2.782755	0.745627	1.066955	-4.490833	-19.268203	
148000	1.000000	1.000000	1.000000	1.000000	1.000000	5.635007	1.000000	4.942950	1.000918	0.456231	1.584145	0.500000	0.500000	0.500000	0.500000	0.500000	0.790315	0.500000	1.172431	1.414648	2.782755	0.745627	1.066955	-4.490833	-19.268203	
150000	1.000000	1.000000	1.000000	1.000000	1.000000	5.635007	1.000000	4.942950	1.000918	0.456231	1.584145	0.500000	0.500000	0.500000	0.500000	0.500000	0.790315	0.500000	1.172431	1.414648	2.782755	0.745627	1.066955	-4.490833	-19.268203	
152000	1.000000	1.000000	1.000000	1.000000	1.000000	5.635007	1.000000	4.942950	1.000918	0.456231	1.584145	0.500000	0.500000	0.500000	0.500000	0.500000	0.790315	0.500000	1.172431	1.414648	2.782755	0.745627	1.066955	-4.490833	-19.268203	
154000	1.000000	1.000000	1.000000	1.000000	1.000000	5.635007	1.000000	4.942950	1.000918	0.456231	1.584145	0.500000	0.500000	0.500000	0.500000	0.500000	0.790315	0.500000	1.172431	1.414648	2.782755	0.745627	1.066955	-4.490833	-19.268203	
156000	1.000000	1.000000	1.000000	1.000000	1.000000	5.635007	1.000000	4.942950	1.000918	0.456231	1.584145	0.500000	0.500000	0.500000	0.500000	0.500000	0.790315	0.500000	1.172431	1.414648	2.782755	0.745627	1.066955	-4.490833	-19.268203	
158000	1.000000	1.000000	1.000000	1.000000	1.000000	5.635007	1.000000	4.942950	1.000918	0.456231	1.584145	0.500000	0.500000	0.500000	0.500000	0.500000	0.790315	0.500000	1.172431	1.414648	2.782755	0.745627	1.066955	-4.490833	-19.268203	
160000	1.000000	1.000000	1.000000	1.000000	1.000000	5.635007	1.000000	4.942950	1.000918	0.456231	1.584145	0.500000	0.500000	0.500000	0.500000	0.500000	0.790315	0.500000	1.172431	1.414648	2.782755	0.745627	1.066955	-4.490833	-19.268203	
162000	1.000000	1.000000	1.000000	1.000000	1.000000	5.635007	1.000000	4.942950	1.000918	0.456231	1.584145	0.500000	0.500000	0.500000	0.500000	0.500000	0.790315	0.500000	1.172431	1.414648	2.782755	0.745627	1.066955	-4.490833	-19.268203	
164000	1.000000	1.000000	1.000000	1.000000	1.000000	5.635007	1.000000	4.942950	1.000918	0.456231	1.584145	0.500000	0.500000	0.500000	0.500000	0.500000	0.790315	0.500000	1.172431	1.414648	2.782755	0.745627	1.066955	-4.490833	-19.268203	
166000	1.000000	1.000000	1.000000	1.000000	1.000000	5.635007	1.000000	4.942950	1.000918	0.456231	1.584145	0.500000	0.500000	0.500000	0.500000	0.500000	0.790315	0.500000	1.172431	1.414648	2.782755	0.745627	1.066955	-4.490833	-19.268203	
168000	1.000000	1.000000	1.000000	1.000000	1.000000	5.635007	1.000000	4.942950	1.000918	0.456231	1.584145	0.500000	0.500000	0.500000	0.500000	0.500000	0.790315	0.500000	1.172431	1.414648	2.782755	0.745627	1.066955	-4.490833	-19.268203	
170000	1.000000	1.000000	1.000000	1.000000	1.000000	5.635007	1.000000	4.942950	1.000918	0.456231	1.584145	0.500000	0.500000	0.500000	0.500000	0.500000	0.790315	0.500000	1.172431	1.414648	2.782755	0.745627	1.066955	-4.490833	-19.268203	
172000	1.000000	1.000000	1.000000	1.000000	1.000000	5.635007	1.000000	4.942950	1.000918	0.456231	1.584145	0.500000	0.500000	0.500000	0.500000	0.500000	0.790315	0.500000	1.172431	1.414648	2.782755	0.745627	1.066955	-4.490833	-19.268203	
174000	1.000000	1.000000	1.000000	1.000000	1.000000	5.635007	1.000000	4.942950	1.000918	0.456231	1.584145	0.500000	0.500000	0.500000	0.500000	0.500000	0.790315	0.500000	1.172431	1.414648	2.782755	0.745627	1.066955	-4.490833	-19.268203	
176000	1.000000	1.000000	1.000000	1.000000	1.000000	5.635007	1.000000	4.942950	1.000918	0.456231	1.584145	0.500000	0.500000	0.500000	0.500000	0.500000	0.790315	0.500000	1.172431	1.414648	2.782755	0.745627	1.066955	-4.490833	-19.268203	
178000	1.000000	1.000000	1.000000	1.000000	1.000000	5.635007	1.000000	4.942950	1.000918	0.456231	1.584145	0.500000	0.500000	0.500000	0.500000	0.500000	0.790315	0.500000	1.172431	1.414648	2.782755	0.745627	1.066955	-4.490833	-19.268203	
180000	1.000000	1.000000	1.000000	1.000000	1.000000	5.635007	1.000000	4.942950	1.000918	0.456231	1.584145	0.500000	0.500000	0.500000	0.500000	0.500000	0.790315	0.500000	1.172431	1.414648	2.782755	0.745627	1.066955	-4.490833	-19.268203	
182000	1.000000	1.000000	1.000000	1.000000	1.000000	5.635007	1.000000	4.942950	1.000918	0.456231	1.584145	0.500000	0.500000	0.500000	0.500000	0.500000	0.790315	0.500000	1.172431	1.414648	2.782755	0.745627	1.066955	-4.490833	-19.268203	
184000	1.000000	1.000000	1.000000	1.000000	1.000000	5.635007	1.000000	4.942950	1.000918	0.456231	1.584145	0.500000	0.500000	0.500000	0.500000	0.500000	0.790315	0.500000	1.172431	1.414648	2.782755	0.745627	1.066955	-4.490833	-19.268203	
186000	1.000000	1.000000	1.000000	1.000000	1.000000	5.635007	1.000000	4.942950	1.000918	0.456231	1.584145	0.500000	0.500000	0.500000	0.500000	0.500000	0.790315	0.500000	1.172431	1.414648	2.782755	0.745627	1.066955	-4.490833	-19.268203	
188000	1.000000	1.000000	1.000000	1.000000	1.000000	5.635007	1.000000	4.942950	1.000918	0.456231	1.584145	0.500000	0.500000	0.500000	0.500000	0.500000	0.790315	0.500000	1.172431	1.414648	2.782755	0.745627	1.066955	-4.490833	-19.268203	
